PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2000,21.09,36.91,89.65,84.38,47.46,179.3,52.73,0,26.37,226.76,94.92,47.46,907.03
PRECTOTCORR_SUM,2001,52.73,89.65,10.55,36.91,147.66,42.19,10.55,36.91,147.66,63.28,31.64,42.19,711.91
PRECTOTCORR_SUM,2002,47.46,26.37,47.46,121.29,73.83,89.65,79.1,79.1,68.55,131.84,10.55,68.55,843.75
PRECTOTCORR_SUM,2003,0,21.09,47.46,47.46,89.65,147.66,15.82,110.74,63.28,15.82,31.64,26.37,616.99
PRECTOTCORR_SUM,2004,42.19,47.46,84.38,52.73,21.09,210.94,84.38,84.38,15.82,142.38,142.38,21.09,949.22
PRECTOTCORR_SUM,2005,63.28,36.91,10.55,0,63.28,100.2,89.65,142.38,68.55,52.73,0,0,627.54
PRECTOTCORR_SUM,2006,10.55,0,68.55,84.38,73.83,42.19,36.91,68.55,68.55,89.65,47.46,73.83,664.45
PRECTOTCORR_SUM,2007,58.01,21.09,137.11,52.73,242.58,300.59,131.84,163.48,47.46,79.1,10.55,52.73,1297.27
PRECTOTCORR_SUM,2008,5.27,58.01,89.65,94.92,100.2,121.29,26.37,147.66,31.64,47.46,21.09,21.09,764.65
PRECTOTCORR_SUM,2009,15.82,26.37,42.19,137.11,158.2,52.73,100.2,94.92,100.2,168.75,5.27,36.91,938.67
PRECTOTCORR_SUM,2010,42.19,63.28,26.37,68.55,89.65,110.74,121.29,21.09,126.56,47.46,21.09,10.55,748.83
PRECTOTCORR_SUM,2011,0,42.19,0,47.46,116.02,15.82,5.27,36.91,31.64,126.56,89.65,31.64,543.16
PRECTOTCORR_SUM,2012,47.46,21.09,121.29,84.38,68.55,68.55,10.55,47.46,89.65,21.09,15.82,15.82,611.72
PRECTOTCORR_SUM,2013,26.37,73.83,21.09,158.2,158.2,100.2,168.75,52.73,42.19,79.1,21.09,31.64,933.4
PRECTOTCORR_SUM,2014,0,5.27,42.19,47.46,52.73,163.48,100.2,10.55,42.19,52.73,79.1,21.09,616.99
PRECTOTCORR_SUM,2015,36.91,15.82,42.19,105.47,421.88,179.3,163.48,31.64,47.46,84.38,147.66,94.92,1371.09
PRECTOTCORR_SUM,2016,0,36.91,42.19,179.3,100.2,121.29,84.38,15.82,116.02,21.09,26.37,15.82,759.38
PRECTOTCORR_SUM,2017,47.46,79.1,52.73,137.11,110.74,26.37,73.83,174.02,94.92,79.1,0,15.82,891.21
PRECTOTCORR_SUM,2018,5.27,100.2,36.91,58.01,110.74,105.47,52.73,84.38,205.66,158.2,10.55,105.47,1033.59
PRECTOTCORR_SUM,2019,42.19,15.82,63.28,126.56,247.85,126.56,5.27,121.29,63.28,100.2,58.01,21.09,991.41
PRECTOTCORR_SUM,2020,84.38,31.64,152.93,63.28,131.84,73.83,89.65,42.19,158.2,73.83,15.82,58.01,975.59
